,Path,NumFiles,StudyID,StudyDate,StudyTime,PatientID,PatientName,ProtocolName,SeriesDescription,SeriesNumber,SeriesTime,ImagesInAcquisition,InStackPositionNumber,InstanceNumber,SliceLocation,TriggerTime,FloatSlopRTIATimer
43,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,1,1,118.4629364,,0.0023
42,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,2,2,115.2297363,,0.0
41,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,3,3,111.9965363,,0.0
40,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,4,4,108.7633362,,0.0
39,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,5,5,105.5301361,,0.0
38,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,6,6,102.296936,,0.0
37,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,7,7,99.06373596,,0.1386
36,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,8,8,95.83053589,,1.1387
35,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,9,9,92.59733582,,0.1841
34,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,10,10,89.36413574,,1.1841
33,dicom/sub-human/ses-01vol6tests/s746,264,1543,20180825,151045,human,,JN_fPrint_rfMRI_2018_08_,fMRI_rest6vTDint1,11,154042,44,11,11,86.13093567,,0.2295
